,,win % (p1),0 % (p1),0 % (p2),20 % (p1),20 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 100,# 0 (pseq),# 0 (iseq),# 0 (seq),# 0 (set)
Random,Random,0.487,0.046,0.049,0.004,0.006,-0.718,0.0,100.0,25.975,100.0,0.905,0.0,0.043,0.0,0.235
Random,Defeat,0.888,0.069,0.0,0.006,0.0,19.87,9.0,100.0,26.0,100.0,0.931,0.0,0.029,0.0,0.217
Random,Minscore,0.01,0.007,0.989,0.004,0.0,-67.676,-80.0,9.0,2.0,28.0,0.005,0.0,0.157,0.0,0.185
Random,Mindist,0.006,0.006,0.994,0.005,0.0,-67.566,-80.0,8.0,2.0,28.0,0.001,0.0,0.065,0.0,0.162
Random,Mindistscore,0.004,0.004,0.996,0.003,0.0,-68.268,-80.0,8.0,2.0,23.0,0.0,0.0,0.097,0.0,0.177
Random,MindistOpp,0.003,0.003,0.997,0.004,0.0,-68.424,-80.0,8.0,2.0,20.0,0.0,0.0,0.078,0.0,0.176
Defeat,Random,0.12,0.001,0.066,0.0,0.005,-19.522,-8.0,100.0,28.0,100.0,0.935,0.0,0.026,0.0,0.256
Defeat,Defeat,0.511,0.001,0.001,0.0,0.0,-0.126,0.0,100.0,100.0,100.0,0.998,0.0,0.105,0.0,0.211
Defeat,Minscore,0.002,0.0,0.994,0.0,0.0,-78.997,-80.0,8.0,2.0,28.0,0.006,0.0,0.106,0.0,0.176
Defeat,Mindist,0.0,0.0,1.0,0.0,0.0,-79.152,-80.0,7.0,2.0,26.0,0.001,0.0,0.03,0.0,0.173
Defeat,Mindistscore,0.0,0.0,1.0,0.0,0.0,-79.173,-80.0,7.0,2.0,21.0,0.0,0.0,0.045,0.0,0.209
Defeat,MindistOpp,0.0,0.0,1.0,0.0,0.0,-79.142,-80.0,6.0,2.0,18.0,0.0,0.0,0.036,0.0,0.212
Minscore,Random,0.992,0.99,0.004,0.0,0.003,67.889,80.0,8.0,2.0,26.0,0.005,0.0,0.15,0.0,0.177
Minscore,Defeat,0.998,0.994,0.0,0.0,0.0,78.647,80.0,7.0,1.0,27.0,0.006,0.0,0.105,0.0,0.178
Minscore,Minscore,0.529,0.529,0.471,0.005,0.005,3.108,2.0,7.0,1.0,16.0,0.0,0.0,0.177,0.0,0.188
Minscore,Mindist,0.495,0.495,0.506,0.006,0.007,7.148,-2.0,6.0,1.0,15.0,0.0,0.0,0.136,0.0,0.173
Minscore,Mindistscore,0.454,0.454,0.546,0.006,0.007,1.599,-3.0,6.0,1.0,15.0,0.0,0.0,0.146,0.0,0.172
Minscore,MindistOpp,0.423,0.423,0.577,0.006,0.008,-0.366,-4.0,6.0,1.0,15.0,0.0,0.0,0.134,0.0,0.179
Mindist,Random,0.997,0.997,0.003,0.0,0.003,67.951,80.0,7.0,1.0,28.0,0.001,0.0,0.066,0.0,0.154
Mindist,Defeat,1.0,1.0,0.0,0.0,0.0,78.619,80.0,6.0,1.0,25.0,0.001,0.0,0.038,0.0,0.171
Mindist,Minscore,0.572,0.573,0.428,0.006,0.008,0.423,4.0,6.0,1.0,15.0,0.0,0.0,0.128,0.0,0.169
Mindist,Mindist,0.535,0.536,0.466,0.009,0.009,4.378,10.0,6.0,1.0,15.0,0.0,0.0,0.098,0.0,0.166
Mindist,Mindistscore,0.504,0.504,0.496,0.008,0.01,-0.795,2.0,6.0,1.0,15.0,0.0,0.0,0.11,0.0,0.168
Mindist,MindistOpp,0.472,0.472,0.528,0.009,0.01,-2.652,-8.0,6.0,1.0,14.0,0.0,0.0,0.109,0.0,0.169
Mindistscore,Random,0.995,0.995,0.005,0.0,0.004,68.405,80.0,7.0,1.0,22.0,0.0,0.0,0.095,0.0,0.175
Mindistscore,Defeat,1.0,1.0,0.0,0.0,0.0,78.686,80.0,6.0,1.0,20.0,0.0,0.0,0.049,0.0,0.199
Mindistscore,Minscore,0.613,0.613,0.387,0.006,0.006,6.171,7.0,6.0,1.0,15.025,0.0,0.0,0.133,0.0,0.174
Mindistscore,Mindist,0.577,0.577,0.424,0.006,0.008,10.31,14.0,6.0,1.0,15.0,0.0,0.0,0.113,0.0,0.169
Mindistscore,Mindistscore,0.542,0.542,0.458,0.007,0.01,5.095,6.0,6.0,1.0,15.0,0.0,0.0,0.119,0.0,0.169
Mindistscore,MindistOpp,0.508,0.508,0.492,0.009,0.009,3.345,3.0,6.0,1.0,14.0,0.0,0.0,0.112,0.0,0.176
MindistOpp,Random,0.996,0.996,0.004,0.0,0.003,68.319,80.0,7.0,1.0,18.0,0.0,0.0,0.077,0.0,0.181
MindistOpp,Defeat,1.0,1.0,0.0,0.0,0.0,78.637,80.0,5.0,1.0,17.0,0.0,0.0,0.039,0.0,0.202
MindistOpp,Minscore,0.651,0.651,0.349,0.007,0.008,8.77,10.0,6.0,1.0,15.0,0.0,0.0,0.119,0.0,0.177
MindistOpp,Mindist,0.617,0.617,0.384,0.008,0.009,13.174,17.0,6.0,1.0,14.0,0.0,0.0,0.102,0.0,0.172
MindistOpp,Mindistscore,0.574,0.574,0.426,0.009,0.01,7.223,10.0,6.0,1.0,14.0,0.0,0.0,0.109,0.0,0.175
MindistOpp,MindistOpp,0.547,0.547,0.453,0.01,0.011,5.624,10.0,6.0,1.0,13.0,0.0,0.0,0.103,0.0,0.176
